event_date,event_time,event_name,user_pseudo_id,page_url,page_title,session_id,lynote_user_id,device_type,country
20260509,2026-05-09 19:43:29,cancel_sub_reason_view,48817979.1776269290,https://lynote.ai/zh/settings,Lynote,,c12c8a380a170c26e0473dcca27c155a,desktop,United Kingdom
20260509,2026-05-09 19:43:29,cancel_sub_submit,48817979.1776269290,https://lynote.ai/zh/settings,Lynote,,c12c8a380a170c26e0473dcca27c155a,desktop,United Kingdom
20260509,2026-05-09 19:43:29,cancel_sub_success,48817979.1776269290,https://lynote.ai/zh/settings,Lynote,,c12c8a380a170c26e0473dcca27c155a,desktop,United Kingdom
20260509,2026-05-09 08:56:38,cancel_sub_reason_view,1493064127.1778282581,https://lynote.ai/settings,Lynote,,1e0108a21ffad169a5a508a0cbeb0569,desktop,United States
20260509,2026-05-09 08:56:42,cancel_sub_submit,1493064127.1778282581,https://lynote.ai/settings,Lynote,,1e0108a21ffad169a5a508a0cbeb0569,desktop,United States
20260509,2026-05-09 08:56:42,cancel_sub_success,1493064127.1778282581,https://lynote.ai/settings,Lynote,,1e0108a21ffad169a5a508a0cbeb0569,desktop,United States
20260509,2026-05-09 10:52:01,cancel_sub_reason_view,2011671875.1777722173,https://lynote.ai/settings,Lynote,,b848c41d57d0258e55dda172e2232c1c,desktop,United States
20260509,2026-05-09 10:52:01,cancel_sub_submit,2011671875.1777722173,https://lynote.ai/settings,Lynote,,b848c41d57d0258e55dda172e2232c1c,desktop,United States
20260509,2026-05-09 10:52:01,cancel_sub_success,2011671875.1777722173,https://lynote.ai/settings,Lynote,,b848c41d57d0258e55dda172e2232c1c,desktop,United States
20260509,2026-05-09 14:16:42,cancel_sub_reason_view,1237826903.1778305409,https://lynote.ai/zh/settings,Lynote,,019127e157bbb992c09c65eeb71672f7,desktop,Singapore
20260509,2026-05-09 14:16:51,cancel_sub_submit,1237826903.1778305409,https://lynote.ai/zh/settings,Lynote,,019127e157bbb992c09c65eeb71672f7,desktop,Singapore
20260509,2026-05-09 14:16:51,cancel_sub_success,1237826903.1778305409,https://lynote.ai/zh/settings,Lynote,,019127e157bbb992c09c65eeb71672f7,desktop,Singapore
20260510,2026-05-10 06:50:36,cancel_sub_reason_view,295468222.1776637345,https://lynote.ai/pt/pricing,Lynote,,363f024c31ff45843b05aa065a75b3dc,desktop,Brazil
20260510,2026-05-10 06:50:47,cancel_sub_submit,295468222.1776637345,https://lynote.ai/pt/pricing,Lynote,,363f024c31ff45843b05aa065a75b3dc,desktop,Brazil
20260510,2026-05-10 06:50:47,cancel_sub_success,295468222.1776637345,https://lynote.ai/pt/pricing,Lynote,,363f024c31ff45843b05aa065a75b3dc,desktop,Brazil
20260510,2026-05-10 16:00:27,cancel_sub_reason_view,612371475.1778181956,https://lynote.ai/zh/pricing,Lynote,,40f8c35b9ba3309c6d5fa320e0ea6801,desktop,Singapore
20260510,2026-05-10 16:00:27,cancel_sub_submit,612371475.1778181956,https://lynote.ai/zh/pricing,Lynote,,40f8c35b9ba3309c6d5fa320e0ea6801,desktop,Singapore
20260510,2026-05-10 16:00:27,cancel_sub_success,612371475.1778181956,https://lynote.ai/zh/pricing,Lynote,,40f8c35b9ba3309c6d5fa320e0ea6801,desktop,Singapore
20260510,2026-05-10 05:18:16,cancel_sub_reason_view,1682123084.1778101670,https://lynote.ai/zh/pricing,Lynote,,9fba87ad4385147c11c1a0aaf1cfdc3c,desktop,Hungary
20260510,2026-05-10 05:18:16,cancel_sub_submit,1682123084.1778101670,https://lynote.ai/zh/pricing,Lynote,,9fba87ad4385147c11c1a0aaf1cfdc3c,desktop,Hungary
20260510,2026-05-10 05:18:16,cancel_sub_success,1682123084.1778101670,https://lynote.ai/zh/pricing,Lynote,,9fba87ad4385147c11c1a0aaf1cfdc3c,desktop,Hungary
20260510,2026-05-10 03:21:14,cancel_sub_reason_view,868821214.1778354297,https://lynote.ai/pricing,Lynote,,ded7d7fc9c6791405a32b8c460be2e2f,desktop,United States
20260510,2026-05-10 03:21:20,cancel_sub_submit,868821214.1778354297,https://lynote.ai/pricing,Lynote,,ded7d7fc9c6791405a32b8c460be2e2f,desktop,United States
20260510,2026-05-10 03:21:20,cancel_sub_success,868821214.1778354297,https://lynote.ai/pricing,Lynote,,ded7d7fc9c6791405a32b8c460be2e2f,desktop,United States
20260510,2026-05-10 03:56:54,cancel_sub_reason_view,1008980797.1778332649,https://lynote.ai/es/pricing,Lynote,,076ca9d513923a1df772e48aa446b49d,desktop,Mexico
20260510,2026-05-10 03:57:05,cancel_sub_submit,1008980797.1778332649,https://lynote.ai/es/pricing,Lynote,,076ca9d513923a1df772e48aa446b49d,desktop,Mexico
20260510,2026-05-10 03:57:05,cancel_sub_success,1008980797.1778332649,https://lynote.ai/es/pricing,Lynote,,076ca9d513923a1df772e48aa446b49d,desktop,Mexico
20260508,2026-05-08 22:13:57,cancel_sub_reason_view,1082529809.1777976841,https://lynote.ai/zh/settings,Lynote,,b887713be27bf26e9a845680dca07168,desktop,Singapore
20260508,2026-05-08 22:14:04,cancel_sub_submit,1082529809.1777976841,https://lynote.ai/zh/settings,Lynote,,b887713be27bf26e9a845680dca07168,desktop,Singapore
20260508,2026-05-08 22:14:04,cancel_sub_success,1082529809.1777976841,https://lynote.ai/zh/settings,Lynote,,b887713be27bf26e9a845680dca07168,desktop,Singapore
20260508,2026-05-08 15:51:57,cancel_sub_reason_view,1915328225.1778066304,https://lynote.ai/zh/settings,Lynote,,2c2ddea4cb1faa5ab278887646b4f82c,desktop,United States
20260508,2026-05-08 15:51:57,cancel_sub_submit,1915328225.1778066304,https://lynote.ai/zh/settings,Lynote,,2c2ddea4cb1faa5ab278887646b4f82c,desktop,United States
20260508,2026-05-08 15:52:03,cancel_sub_success,1915328225.1778066304,https://lynote.ai/zh/settings,Lynote,,2c2ddea4cb1faa5ab278887646b4f82c,desktop,United States
20260508,2026-05-08 04:51:08,cancel_sub_reason_view,172292089.1777669482,https://lynote.ai/zh/settings,Lynote,,510764db3cddebe2fbea4dfa17e053b6,desktop,France
20260508,2026-05-08 04:51:08,cancel_sub_submit,172292089.1777669482,https://lynote.ai/zh/settings,Lynote,,510764db3cddebe2fbea4dfa17e053b6,desktop,France
20260508,2026-05-08 04:51:08,cancel_sub_success,172292089.1777669482,https://lynote.ai/zh/settings,Lynote,,510764db3cddebe2fbea4dfa17e053b6,desktop,France
20260508,2026-05-08 04:47:27,cancel_sub_reason_view,1108369884.1778186441,https://lynote.ai/it/settings,Lynote,,a25ea116514e4aa50d5fc87cf9dd5f1e,desktop,Italy
20260508,2026-05-08 04:47:27,cancel_sub_submit,1108369884.1778186441,https://lynote.ai/it/settings,Lynote,,a25ea116514e4aa50d5fc87cf9dd5f1e,desktop,Italy
20260508,2026-05-08 04:47:27,cancel_sub_success,1108369884.1778186441,https://lynote.ai/it/settings,Lynote,,a25ea116514e4aa50d5fc87cf9dd5f1e,desktop,Italy
